ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,restrictedMask,restrictedExecuted,restrictedDetourDistance,travel,setup,move
48,108,317.239,24,24,281.2580361366272,0,0,4,0,0,0.10540830707337534,25.806514908068575,150.0,258.0651490806858
49,109,417.432,24,24,283.8378849029541,1,0,19,0,0,0.0,23.87368945817609,130.0,238.73689458176096
50,110,253.03,24,24,300.8644504547119,1,0,3,0,0,1.6231954962312756,13.785136311075469,110.0,137.85136311075468
51,101,314.973,24,24,277.11155223846436,3,0,5,0,0,0.4299207871058499,27.961447906715694,140.0,279.61447906715694
52,102,269.969,24,24,282.6277885437012,5,0,6,0,0,0.0,17.90737249789052,120.0,179.0737249789052
53,103,488.382,24,24,279.32142543792725,1,0,32,0,0,2.236841526019333,23.9285812896306,130.0,239.28581289630597
54,104,306.849,24,24,287.3456964492798,8,0,8,0,0,0.4539731936255009,18.84768104535336,80.0,188.47681045353357
55,105,294.873,24,24,304.9651827812195,0,0,7,0,0,0.0,8.44936218500009,100.0,84.4936218500009
56,106,302.689,24,24,274.1890025138855,0,0,9,0,0,1.6571550170303126,22.703324529279946,170.0,227.03324529279948
57,107,352.137,24,24,284.9068841934204,3,0,31,0,0,0.0,13.643708841462038,120.0,136.4370884146204
58,108,390.386,24,24,278.00092124938965,1,0,24,0,0,0.0,16.663579753211735,150.0,166.63579753211738
59,109,297.366,24,24,297.0412540435791,1,0,13,0,0,3.2752340957292745,16.52914477077849,110.0,165.29144770778495
60,110,298.707,24,24,296.51927375793457,0,0,11,0,0,1.6231954962312756,16.60240054959366,120.0,166.02400549593662
