ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
1,101,315.229,24,24,298.6638517379761,0,0,9,17.226898493097146,100.0,172.2689849309714
2,102,301.433,24,24,249.7997555732727,7,0,8,28.667058484576586,150.0,286.6705848457659
3,103,348.199,24,24,260.36225509643555,4,0,11,25.229556031559806,150.0,252.2955603155981
4,104,328.617,24,24,240.66441583633423,11,0,10,29.72596094658329,140.0,297.2596094658329
5,105,357.008,24,24,259.6486887931824,7,0,22,18.085521016869237,140.0,180.85521016869237
6,106,302.649,24,24,236.57390832901,10,0,9,24.876799374302408,170.0,248.7679937430241
7,107,416.264,24,24,250.67470407485962,8,0,58,16.37548659566692,150.0,163.7548659566692
8,108,385.588,24,24,260.9417986869812,5,0,17,25.930317470317995,140.0,259.30317470318
9,109,337.686,24,24,256.8160619735718,5,0,19,21.97322307679091,160.0,219.73223076790904
10,110,384.575,24,24,259.7235014438629,5,0,22,18.79415810603192,150.0,187.94158106031912
11,101,317.236,24,24,263.9123725891113,5,0,11,20.979371061228793,140.0,209.79371061228792
12,102,310.643,24,24,248.6365442276001,10,0,10,28.105755391547532,130.0,281.0575539154753
13,103,334.027,24,24,246.7678928375244,8,0,12,28.720177047992998,150.0,287.20177047993
14,104,436.138,24,24,264.278386592865,7,0,21,25.369352734040053,110.0,253.69352734040046
15,105,292.339,24,24,274.5350806713104,6,0,7,14.941531372566489,120.0,149.41531372566487
16,106,326.373,24,24,256.2063500881195,11,0,16,23.82274617943155,110.0,238.22746179431553
17,107,404.654,24,24,264.02317571640015,8,0,32,14.128038843753094,120.0,141.28038843753095
18,108,294.696,24,24,281.0296926498413,5,0,8,14.950508922972283,110.0,149.5050892297228
19,109,343.438,24,24,228.49124574661255,16,0,15,20.84791333402292,150.0,208.4791333402292
20,110,331.744,24,24,287.2301616668701,3,0,20,12.116397804523752,110.0,121.16397804523751
21,101,294.496,24,24,285.75807428359985,2,0,9,15.403207452694547,120.0,154.03207452694548
22,102,304.397,24,24,250.63879108428955,11,0,15,22.26867370655286,130.0,222.6867370655286
23,103,311.413,24,24,249.4597134590149,8,0,8,30.900467488113673,140.0,309.0046748811367
24,104,314.151,24,24,283.5904788970947,8,0,10,22.349199170339382,70.0,223.4919917033938
25,105,278.323,24,24,268.70827984809875,8,0,6,7.986194922296128,130.0,79.86194922296127
26,106,283.76,24,24,270.6097249984741,4,0,9,24.81712278678844,130.0,248.17122786788443
27,107,351.384,24,24,256.8825526237488,8,0,25,11.862413277908589,150.0,118.62413277908588
28,108,363.982,24,24,271.9241921901703,6,0,15,20.126348428170687,110.0,201.2634842817069
29,109,280.104,24,24,267.3564872741699,6,0,4,22.73918181193331,130.0,227.39181811933315
30,110,281.931,24,24,255.34018325805664,11,0,4,17.7663575477962,130.0,177.663575477962
31,101,254.08,24,24,290.2949562072754,1,0,5,10.341734633839234,130.0,103.41734633839233
32,102,296.843,24,24,274.52495098114014,7,0,10,18.291742652904816,110.0,182.91742652904816
33,103,297.465,24,24,265.3911199569702,6,0,17,20.181470282538108,130.0,201.8147028253811
34,104,298.18,24,24,282.8351182937622,7,0,24,13.60814493689817,90.0,136.0814493689817
35,105,292.433,24,24,276.77141094207764,6,0,16,10.380983073410125,120.0,103.80983073410124
36,106,264.954,24,24,249.3629412651062,11,0,7,27.728424788948864,130.0,277.2842478894886
37,107,388.955,24,24,258.7488317489624,9,0,34,13.751934851368917,130.0,137.51934851368915
38,108,327.3,24,24,262.97320318222046,7,0,13,19.211321919942414,130.0,192.11321919942412
39,109,307.131,24,24,275.1281394958496,8,0,12,16.453091022583028,100.0,164.53091022583027
40,110,326.118,24,24,263.15867042541504,8,0,11,16.402216973413555,130.0,164.0221697341356
41,101,363.626,24,24,285.2555203437805,2,0,16,13.740782170607506,120.0,137.40782170607505
42,102,389.75,24,24,260.5617606639862,6,0,14,25.73039805847738,130.0,257.3039805847738
43,103,312.891,24,24,238.1905641555786,11,0,8,23.015714882653207,160.0,230.15714882653208
44,104,316.071,24,24,279.9378137588501,7,0,15,13.436983858067437,100.0,134.36983858067438
45,105,293.492,24,24,274.2009401321411,8,0,12,12.165085079317212,110.0,121.65085079317213
46,106,323.251,24,24,265.80994510650635,8,0,18,22.81676208491103,110.0,228.1676208491103
47,107,413.664,24,24,267.62222146987915,7,0,32,13.129615226331214,120.0,131.2961522633121
48,108,384.812,24,24,261.8745107650757,5,0,12,21.87581102364785,140.0,218.7581102364785
49,109,279.364,24,24,271.2202396392822,8,0,4,18.799600511419836,110.0,187.99600511419837
50,110,388.573,24,24,275.33207416534424,4,0,23,17.779874351603098,120.0,177.798743516031
51,101,368.157,24,24,281.4742875099182,1,0,24,15.876174616554689,130.0,158.76174616554687
52,102,303.576,24,24,266.08961963653564,7,0,10,16.517292539612832,130.0,165.17292539612836
53,103,338.742,24,24,265.92768812179565,3,0,11,23.453852257768244,150.0,234.53852257768241
54,104,285.822,24,24,280.31199288368225,7,0,13,19.480008589181686,90.0,194.80008589181685
55,105,272.185,24,24,296.9681887626648,4,0,5,15.88635303262741,80.0,158.86353032627412
56,106,292.774,24,24,257.69422340393066,10,0,11,22.17628605486468,120.0,221.7628605486468
57,107,315.544,24,24,282.2649598121643,8,0,13,11.22505556385652,90.0,112.2505556385652
58,108,312.057,24,24,260.4595470428467,4,0,6,23.400757005772835,160.0,234.00757005772834
59,109,256.584,24,24,268.3989906311035,7,0,2,22.668342540676747,120.0,226.6834254067674
60,110,404.132,24,24,273.9991111755371,5,0,29,12.501478146141002,120.0,125.01478146141001
