level,ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
L3_4C36L,23,103,453.771,36,36,359.1169080734253,4,0,32,29.610292143837945,220.0,296.10292143837944
L3_4C36L,24,104,448.935,36,36,365.3821382522583,7,0,24,25.3928955506102,190.0,253.9289555061019
L3_4C36L,25,105,464.081,36,36,356.6769096851349,11,0,28,14.410278367054996,180.0,144.10278367054997
L3_4C36L,26,106,334.773,36,36,352.996395111084,20,0,20,23.34534732937872,130.0,233.4534732937871
L3_4C36L,27,107,496.81,36,36,363.54361486434937,5,0,45,24.85461282446147,200.0,248.54612824461472
L3_4C36L,28,108,316.816,36,36,350.4701404571533,14,0,9,21.766209264114,190.0,217.66209264114002
L3_4C36L,29,109,339.495,36,36,353.65644884109497,15,0,23,17.81184325715644,170.0,178.11843257156443
L3_4C36L,30,110,293.766,36,36,390.3549613952637,7,0,8,8.816785790963904,150.0,88.16785790963904
L3_4C36L,31,101,385.518,36,36,359.24441480636597,11,0,36,32.51861053779227,170.0,325.1861053779227
L3_4C36L,32,102,304.672,36,36,381.7562026977539,12,0,11,14.145989280908093,130.0,141.45989280908097
L3_4C36L,33,103,439.809,36,36,341.93745136260986,8,0,26,28.541838625610435,240.0,285.4183862561043
L3_4C36L,34,104,781.326,36,36,344.95558643341064,5,0,100,33.48137968170196,200.0,334.8137968170196
L3_4C36L,35,105,374.408,36,36,362.76101207733154,6,0,26,14.129957151750306,220.0,141.29957151750307
L3_4C36L,36,106,333.469,36,36,351.70118284225464,16,0,15,30.996066914393786,160.0,309.96066914393793
L3_4C36L,37,107,353.575,36,36,377.7542972564697,10,0,20,20.819013522935403,150.0,208.19013522935407
L3_4C36L,38,108,292.094,36,36,395.35132789611816,5,0,9,20.495559770185785,150.0,204.95559770185787
L3_4C36L,39,109,464.28,36,36,337.034704208374,13,0,65,33.21765502959739,200.0,332.1765502959738
L3_4C36L,40,110,293.551,36,36,369.04760932922363,12,0,11,11.507972903753629,170.0,115.0797290375363
L3_4C36L,41,101,436.621,36,36,380.8379211425781,4,0,48,25.54025284635209,170.0,255.40252846352087
L3_4C36L,42,102,330.718,36,36,372.58545112609863,12,0,25,19.71516653420861,150.0,197.1516653420861
L3_4C36L,43,103,437.7,36,36,350.014368057251,8,0,29,26.618775521097596,220.0,266.1877552109759
L3_4C36L,44,104,410.467,36,36,374.94417333602905,9,0,24,20.186119631324694,160.0,201.8611963132469
L3_4C36L,45,105,411.293,36,36,354.6610643863678,7,0,38,14.463123632202475,220.0,144.63123632202473
L3_4C36L,46,106,376.596,36,36,353.20161533355713,8,0,15,24.32793969359666,220.0,243.2793969359666
L3_4C36L,47,107,496.201,36,36,328.45250034332275,14,0,48,25.158329998559616,220.0,251.5832999855961
L3_4C36L,48,108,343.656,36,36,360.0282039642334,10,0,11,19.90598522536256,200.0,199.05985225362565
L3_4C36L,49,109,419.162,36,36,344.0669193267822,16,0,42,26.443609193273872,170.0,264.4360919327387
L3_4C36L,50,110,292.174,36,36,379.1601753234863,10,0,3,11.13276158626204,160.0,111.32761586262038
L3_4C36L,51,101,387.253,36,36,340.59626293182373,12,0,26,31.345790147920525,210.0,313.4579014792052
L3_4C36L,52,102,344.155,36,36,384.4594669342041,9,0,25,21.801782340875977,140.0,218.01782340875982
L3_4C36L,53,103,458.513,36,36,364.6020426750183,3,0,28,21.326534848756317,220.0,213.26534848756313
L3_4C36L,54,104,342.529,36,36,372.6938877105713,12,0,8,24.353694536293865,150.0,243.53694536293867
L3_4C36L,55,105,376.374,36,36,375.2163734436035,7,0,35,14.278745615392628,180.0,142.78745615392629
L3_4C36L,56,106,402.285,36,36,367.5275297164917,8,0,29,34.90824023618095,170.0,349.0824023618095
L3_4C36L,57,107,497.309,36,36,366.43146800994873,6,0,42,38.56176689828444,180.0,385.6176689828444
L3_4C36L,58,108,425.293,36,36,362.1562008857727,7,0,30,22.812678010359196,200.0,228.12678010359195
L3_4C36L,59,109,486.214,36,36,371.9910225868225,6,0,52,20.02992071848793,170.0,200.2992071848793
L3_4C36L,60,110,324.992,36,36,370.11009216308594,9,0,11,17.966358224688122,180.0,179.66358224688122
L3_4C36L,61,101,364.764,36,36,372.9466037750244,7,0,28,20.17797818254562,180.0,201.77978182545618
L3_4C36L,62,102,339.222,36,36,358.9332265853882,14,0,16,18.555910523437028,170.0,185.55910523437032
L3_4C36L,63,103,437.283,36,36,329.88267612457275,11,0,34,32.057731581135045,240.0,320.57731581135056
L3_4C36L,64,104,385.035,36,36,386.3160209655762,10,0,25,25.61326539093249,120.0,256.13265390932486
L3_4C36L,65,105,418.118,36,36,354.8979730606079,11,0,34,20.340087727729724,190.0,203.40087727729718
L3_4C36L,66,106,443.001,36,36,351.1230001449585,13,0,34,32.92333271517386,170.0,329.2333271517386
L3_4C36L,67,107,378.198,36,36,336.8633108139038,20,0,31,23.788957777278746,170.0,237.88957777278742
L3_4C36L,68,108,340.527,36,36,340.03376054763794,18,0,19,19.887441421147987,180.0,198.87441421147983
L3_4C36L,69,109,388.82,36,36,346.69830322265625,11,0,39,22.672315037083525,210.0,226.72315037083519
L3_4C36L,70,110,359.472,36,36,367.7928466796875,7,0,15,19.02384028788046,200.0,190.23840287880458
L3_4C36L,71,101,400.157,36,36,395.66141271591187,3,0,34,17.795303538621777,150.0,177.95303538621783
L3_4C36L,72,102,339.743,36,36,379.28441619873047,14,0,21,15.718618497576033,120.0,157.18618497576034
L3_4C36L,73,103,398.466,36,36,343.2410717010498,12,0,32,29.196406136120878,210.0,291.96406136120873
L3_4C36L,74,104,323.812,36,36,356.81297302246094,15,0,17,15.623428111151238,170.0,156.2342811115124
L3_4C36L,75,105,411.618,36,36,359.57827854156494,10,0,30,14.739075733911086,190.0,147.39075733911085
L3_4C36L,76,106,447.883,36,36,342.4504246711731,13,0,54,21.831898778125794,200.0,218.31898778125793
L3_4C36L,77,107,432.615,36,36,355.4581742286682,9,0,38,18.472741292449186,200.0,184.72741292449186
L3_4C36L,78,108,344.491,36,36,340.8068256378174,14,0,19,25.643920128330283,210.0,256.4392012833028
L3_4C36L,79,109,439.576,36,36,349.57186365127563,13,0,84,18.093778106774977,180.0,180.93778106774974
L3_4C36L,80,110,339.45,36,36,387.53333473205566,5,0,18,11.555553360515255,170.0,115.55553360515255
L3_4C36L,81,101,384.615,36,36,393.14557456970215,3,0,27,19.514762632151108,160.0,195.1476263215111
L3_4C36L,82,102,348.745,36,36,363.70968437194824,10,0,11,15.96771639605017,190.0,159.67716396050167
L3_4C36L,83,103,484.838,36,36,367.14857244491577,4,0,43,22.838086988583676,200.0,228.38086988583677
L3_4C36L,84,104,339.387,36,36,396.2277088165283,8,0,23,14.240967559018655,120.0,142.40967559018654
L3_4C36L,85,105,405.281,36,36,342.0331287384033,11,0,16,16.556252962363224,230.0,165.56252962363223
L3_4C36L,86,106,425.144,36,36,350.1421766281128,7,0,35,36.19274841892044,220.0,361.92748418920445
L3_4C36L,87,107,433.535,36,36,343.9617614746094,14,0,54,20.127448939410087,190.0,201.27448939410093
L3_4C36L,88,108,312.059,36,36,345.92802143096924,16,0,7,15.239923154626968,190.0,152.39923154626968
L3_4C36L,89,109,488.001,36,36,359.96722197532654,6,0,72,26.775956284932633,200.0,267.75956284932636
L3_4C36L,90,110,385.117,36,36,359.418669462204,10,0,29,15.271091872558278,190.0,152.7109187255828
L3_4C36L,91,101,393.626,36,36,385.6275997161865,2,0,31,14.57468343828203,190.0,145.7468343828203
L3_4C36L,92,102,399.51,36,36,366.0390419960022,9,0,33,16.536519592516026,180.0,165.36519592516024
L3_4C36L,93,103,432.48,36,36,363.6266574859619,6,0,32,29.577813558741305,190.0,295.7781355874131
L3_4C36L,94,104,397.814,36,36,391.7400312423706,5,0,30,17.533221531142274,150.0,175.33221531142277
L3_4C36L,95,105,433.811,36,36,352.97282218933105,9,0,23,20.090591004183054,210.0,200.90591004183054
L3_4C36L,96,106,425.149,36,36,354.7158832550049,11,0,34,34.28040847326755,180.0,342.8040847326756
L3_4C36L,97,107,398.631,36,36,349.6456890106201,13,0,21,27.84771034629526,190.0,278.4771034629525
L3_4C36L,98,108,538.304,36,36,347.5586347579956,11,0,65,24.8045616201028,190.0,248.04561620102794
L3_4C36L,99,109,483.837,36,36,361.93677711486816,8,0,57,26.877419023707365,180.0,268.77419023707364
L3_4C36L,100,110,328.112,36,36,392.2409157752991,5,0,12,9.196929671321328,160.0,91.96929671321325
L3_4C36L,101,101,338.82,36,36,384.72406673431396,5,0,26,15.919787607098044,170.0,159.19787607098044
L3_4C36L,102,102,494.812,36,36,347.17571544647217,14,0,44,29.414292106195635,170.0,294.1429210619564
L3_4C36L,103,103,534.801,36,36,353.06205463409424,5,0,51,26.45981763412388,220.0,264.59817634123874
L3_4C36L,104,104,479.077,36,36,343.229651927948,14,0,42,22.56781244525982,190.0,225.6781244525982
L3_4C36L,105,105,464.211,36,36,348.5345320701599,15,0,39,21.551563712380084,170.0,215.51563712380081
L3_4C36L,106,106,348.272,36,36,380.1797981262207,13,0,37,22.733989657121004,110.0,227.33989657121006
L3_4C36L,107,107,448.787,36,36,372.21076679229736,4,0,38,25.96410279744017,190.0,259.6410279744017
L3_4C36L,108,108,347.543,36,36,346.9466714859009,15,0,15,28.511085820202013,180.0,285.1108582020201
L3_4C36L,109,109,497.114,36,36,356.8948974609375,10,0,42,23.683672501280597,180.0,236.83672501280594
L3_4C36L,110,110,329.523,36,36,388.4634714126587,9,0,22,8.455109526712153,140.0,84.55109526712155
L3_4C36L,111,101,404.447,36,36,380.3287601470947,4,0,37,18.90413434626557,180.0,189.0413434626557
L3_4C36L,112,102,438.062,36,36,349.78373098373413,12,0,54,20.720919327395436,190.0,207.20919327395438
L3_4C36L,113,103,433.034,36,36,358.93882942199707,7,0,23,20.20390135417539,210.0,202.03901354175386
L3_4C36L,114,104,298.051,36,36,372.3576374053955,13,0,7,15.474544868231307,150.0,154.74544868231305
L3_4C36L,115,105,416.468,36,36,359.628945350647,9,0,25,24.570181104182634,190.0,245.70181104182635
L3_4C36L,116,106,326.321,36,36,360.59568977355957,13,0,9,36.34770990658053,160.0,363.4770990658053
