level,ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
L1_2C12L,39,109,220.357,12,12,171.46679878234863,3,0,1,18.444002082498894,100.0,184.44002082498895
L1_2C12L,40,110,221.646,12,12,183.18641757965088,3,0,5,12.711940292382499,70.0,127.11940292382499
L1_2C12L,41,101,222.828,12,12,178.24299240112305,1,0,0,15.85669117805579,100.0,158.56691178055792
L1_2C12L,42,102,213.621,12,12,184.56009531021118,1,0,2,19.799683799316185,80.0,197.99683799316182
L1_2C12L,43,103,195.844,12,12,190.39735984802246,0,0,1,8.675476553572429,80.0,86.75476553572427
L1_2C12L,44,104,286.14,12,12,193.54775667190552,0,0,10,18.17413531212962,60.0,181.74135312129619
L1_2C12L,45,105,223.439,12,12,184.45215272903442,3,0,4,11.826157498840484,70.0,118.26157498840485
L1_2C12L,46,106,196.468,12,12,201.90748596191406,0,0,3,10.308383694525048,50.0,103.08383694525048
L1_2C12L,47,107,202.272,12,12,194.86079001426697,3,0,5,13.79736935306988,40.0,137.97369353069882
L1_2C12L,48,108,277.747,12,12,189.26122093200684,3,0,11,15.79592493270543,50.0,157.9592493270543
L1_2C12L,49,109,220.987,12,12,181.9961519241333,1,0,2,15.012836429703945,90.0,150.12836429703944
L1_2C12L,50,110,224.672,12,12,192.03431224822998,0,0,1,13.218966107526061,70.0,132.1896610752606
L1_2C12L,51,101,232.81,12,12,179.62975025177002,3,0,2,14.567486835600805,80.0,145.67486835600806
L1_2C12L,52,102,224.955,12,12,191.8684400320053,1,0,4,17.105222751460254,60.0,171.0522275146025
L1_2C12L,53,103,202.745,12,12,186.3158187866211,0,0,1,8.947257416209617,90.0,89.4725741620962
L1_2C12L,54,104,200.57,12,12,187.97772789001465,3,0,1,15.074248820503149,60.0,150.74248820503152
L1_2C12L,55,105,221.234,12,12,181.5316071510315,4,0,2,11.561310815108294,70.0,115.61310815108295
L1_2C12L,56,106,206.502,12,12,191.209002494812,1,0,1,10.969997439668205,70.0,109.69997439668204
L1_2C12L,57,107,215.713,12,12,204.1746425628662,0,0,5,12.75118737929325,40.0,127.51187379293253
L1_2C12L,58,108,199.56,12,12,185.49176621437073,4,0,4,11.694111066120152,60.0,116.9411106612015
L1_2C12L,59,109,210.42,12,12,177.522479057312,4,0,0,14.92508535634747,80.0,149.2508535634747
L1_2C12L,60,110,222.729,12,12,192.6195363998413,0,0,1,11.268210980945494,70.0,112.68210980945493
L1_2C12L,61,101,272.191,12,12,186.93766355514526,0,0,4,16.874443003656815,80.0,168.74443003656816
L1_2C12L,62,102,205.503,12,12,188.48907661437988,1,0,1,8.369756313539458,80.0,83.69756313539457
L1_2C12L,63,103,196.955,12,12,184.63243675231934,2,0,2,9.55853967829202,80.0,95.5853967829202
L1_2C12L,64,104,228.85,12,12,195.78264808654785,0,0,6,14.05784781563055,60.0,140.57847815630547
L1_2C12L,65,105,296.39,12,12,188.49525785446167,1,0,14,11.682474145028651,70.0,116.82474145028651
L1_2C12L,66,106,212.83,12,12,186.69415950775146,3,0,2,17.686124936919672,60.0,176.86124936919674
L1_2C12L,67,107,175.839,12,12,203.39714574813843,1,0,1,10.342848212273775,40.0,103.42848212273778
L1_2C12L,68,108,207.678,12,12,180.88794875144958,3,0,2,8.706848531841564,80.0,87.06848531841561
L1_2C12L,69,109,222.679,12,12,178.0082893371582,3,0,1,19.972387340607405,80.0,199.72387340607403
L1_2C12L,70,110,199.602,12,12,194.09042119979858,1,0,0,14.69859481404653,60.0,146.9859481404653
L1_2C12L,71,101,212.684,12,12,187.97870779037476,3,0,1,13.404302372233532,60.0,134.04302372233533
L1_2C12L,72,102,207.63,12,12,194.48168563842773,0,0,3,8.394389727231278,70.0,83.9438972723128
L1_2C12L,73,103,232.565,12,12,193.07505798339844,0,0,2,13.083140551350251,70.0,130.83140551350246
L1_2C12L,74,104,203.303,12,12,195.86238813400269,0,0,1,17.125364537151384,60.0,171.2536453715138
L1_2C12L,75,105,218.271,12,12,187.80144906044006,2,0,1,10.661835812063961,70.0,106.61835812063963
L1_2C12L,76,106,247.221,12,12,171.34844827651978,4,0,5,18.838510693165777,90.0,188.38510693165776
L1_2C12L,77,107,185.885,12,12,193.89762210845947,3,0,1,10.341262199955278,50.0,103.41262199955277
L1_2C12L,78,108,217.518,12,12,175.3636338710785,5,0,2,8.78789105797497,80.0,87.87891057974971
L1_2C12L,79,109,216.628,12,12,176.52217292785645,2,0,1,11.592760135146452,100.0,115.9276013514645
L1_2C12L,80,110,312.69,12,12,182.01487803459167,1,0,6,19.95041985898336,80.0,199.50419858983363
L1_2C12L,81,101,232.85,12,12,179.33383691310883,3,0,2,15.553873031119531,80.0,155.5387303111953
L1_2C12L,82,102,217.978,12,12,190.39691019058228,1,0,3,8.676984736047054,70.0,86.76984736047052
L1_2C12L,83,103,206.016,12,12,185.98674964904785,0,0,2,8.377494926259676,90.0,83.77494926259676
L1_2C12L,84,104,203.47,12,12,186.81260585784912,2,0,1,15.624636429815318,70.0,156.24636429815317
L1_2C12L,85,105,209.206,12,12,192.26555633544922,2,0,3,9.114810592243362,60.0,91.14810592243363
L1_2C12L,86,106,326.426,12,12,176.40337014198303,1,0,11,21.988776590187904,90.0,219.88776590187908
L1_2C12L,87,107,199.966,12,12,206.075608253479,0,0,4,9.747971785492128,40.0,97.47971785492128
L1_2C12L,88,108,292.088,12,12,184.14761471748352,1,0,10,12.841279699886396,80.0,128.41279699886397
L1_2C12L,89,109,207.795,12,12,181.33841800689697,1,0,0,17.205268967103574,90.0,172.05268967103575
L1_2C12L,90,110,293.782,12,12,184.2961401939392,1,0,11,12.34620629434598,80.0,123.46206294345981
L1_2C12L,91,101,239.604,12,12,184.01682949066162,1,0,3,19.943905158492214,80.0,199.4390515849221
L1_2C12L,92,102,197.75,12,12,196.2207851409912,1,0,3,7.597372944768009,60.0,75.97372944768009
