ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
1,101,306.643,24,24,269.9461646080017,6,0,16,15.089720868053504,130.0,150.89720868053504
2,102,271.479,24,24,231.10467052459717,12,0,7,27.325548822956172,170.0,273.2554882295617
3,103,289.962,24,24,243.95715713500977,9,0,8,23.404722125405957,160.0,234.04722125405956
4,104,316.872,24,24,279.62237548828125,6,0,10,18.962707127517398,100.0,189.62707127517393
5,105,451.725,24,24,266.13060665130615,3,0,30,28.94898695201552,130.0,289.4898695201552
6,106,289.609,24,24,260.2869429588318,4,0,6,23.68842645142356,160.0,236.8842645142356
7,107,316.479,24,24,249.34934389591217,10,0,13,16.084427519886486,150.0,160.84427519886486
8,108,347.717,24,24,252.84927558898926,4,0,10,31.084519362507404,160.0,310.845193625074
9,109,327.515,24,24,272.2921676635742,2,0,11,24.513061129091113,140.0,245.1306112909111
10,110,296.11,24,24,269.7798538208008,10,0,13,15.366902458671811,100.0,153.66902458671814
11,101,315.827,24,24,251.4329116344452,8,0,1,31.778471387913033,140.0,317.78471387913027
12,102,304.673,24,24,244.64393663406372,12,0,5,29.760099298973916,130.0,297.60099298973915
13,103,393.792,24,24,267.63280487060547,2,0,18,24.778656095244656,140.0,247.78656095244656
14,104,283.081,24,24,296.23703384399414,6,0,8,11.271604441744012,70.0,112.71604441744012
15,105,253.294,24,24,288.13447761535645,5,0,3,8.109208984529026,110.0,81.09208984529025
16,106,445.864,24,24,239.31763362884521,9,0,32,36.970605050064066,140.0,369.7060505006408
17,107,386.268,24,24,248.4353051185608,10,0,36,12.607813748135264,150.0,126.07813748135266
18,108,294.653,24,24,276.1990556716919,5,0,8,23.001574503701185,110.0,230.01574503701187
19,109,375.666,24,24,245.3556137084961,10,0,14,20.240650179485222,150.0,202.4065017948522
20,110,268.341,24,24,270.4229965209961,6,0,1,19.29498524952477,130.0,192.9498524952477
21,101,403.593,24,24,274.69385719299316,3,0,21,17.176907279443196,130.0,171.76907279443196
22,102,302.278,24,24,257.6851863861084,7,0,10,31.358009204673685,130.0,313.5800920467368
23,103,358.351,24,24,254.42238354682922,9,0,18,20.9626926197697,130.0,209.626926197697
24,104,368.441,24,24,267.2362289428711,7,0,17,25.43961105377289,110.0,254.39611053772887
25,105,270.59,24,24,283.31525182724,6,0,8,12.807914537633975,100.0,128.07914537633977
26,106,390.448,24,24,262.16823863983154,5,0,19,21.38624636660833,140.0,213.86246366608324
27,107,317.182,24,24,265.0560579299927,8,0,25,13.239904087758308,130.0,132.39904087758305
28,108,354.736,24,24,275.6628506183624,5,0,16,28.06191477465643,100.0,280.61914774656424
29,109,464.089,24,24,245.8904163837433,5,0,24,26.015951879648146,170.0,260.15951879648145
30,110,371.262,24,24,266.0142273902893,4,0,25,15.809622677547988,150.0,158.09622677547986
31,101,319.952,24,24,248.10549545288086,8,0,15,22.324174811494935,160.0,223.24174811494933
32,102,284.109,24,24,264.6867985725403,5,0,12,23.02199829020594,140.0,230.21998290205943
33,103,309.078,24,24,255.60517168045044,5,0,8,23.991383930292496,160.0,239.913839302925
34,104,282.142,24,24,260.88196563720703,8,0,6,16.030038267494863,140.0,160.30038267494865
35,105,313.168,24,24,278.8048801422119,1,0,8,11.991856710752671,150.0,119.91856710752671
36,106,341.804,24,24,271.64529848098755,7,0,15,18.091148274521395,110.0,180.9114827452139
37,107,490.363,24,24,262.9796290397644,5,0,52,19.200619166006188,130.0,192.0061916600619
38,108,281.54,24,24,270.2495126724243,7,0,7,17.0841283913435,120.0,170.841283913435
39,109,335.434,24,24,244.65042638778687,10,0,19,22.249272042340557,150.0,222.4927204234056
40,110,296.558,24,24,285.01679039001465,6,0,17,17.47200671896602,90.0,174.72006718966023
41,101,250.483,24,24,274.0951805114746,9,0,6,18.17470287461613,90.0,181.7470287461613
42,102,311.179,24,24,263.2660422325134,3,0,9,34.5565852631834,140.0,345.5658526318341
43,103,343.269,24,24,267.1638460159302,2,0,8,33.060240297754966,140.0,330.6024029775496
44,104,295.703,24,24,244.52040338516235,15,0,10,19.965995948576253,120.0,199.65995948576256
45,105,341.744,24,24,278.00721502304077,5,0,21,10.821303625270737,120.0,108.21303625270737
46,106,358.985,24,24,241.7137475013733,8,0,20,29.643748348235125,160.0,296.43748348235124
47,107,302.27,24,24,268.1589813232422,7,0,10,13.901676779643115,130.0,139.01676779643117
48,108,317.645,24,24,275.17887258529663,5,0,10,18.03521195848225,120.0,180.35211958482247
49,109,271.182,24,24,229.7448434829712,20,0,2,22.091926629831395,120.0,220.91926629831394
50,110,398.051,24,24,273.41269063949585,3,0,22,12.64550638579894,140.0,126.45506385798942
51,101,379.884,24,24,291.7590546607971,1,0,18,16.23488893009705,100.0,162.3488893009705
52,102,262.467,24,24,253.64021492004395,9,0,4,23.93297631993711,140.0,239.32976319937103
53,103,278.017,24,24,249.1310520172119,10,0,4,26.448239009843626,140.0,264.4823900984362
54,104,366.716,24,24,262.08108472824097,10,0,16,19.031517105762532,110.0,190.31517105762535
55,105,319.36,24,24,292.0947527885437,4,0,19,12.342071883685941,90.0,123.42071883685944
56,106,249.224,24,24,277.753466129303,6,0,6,17.077554046912482,110.0,170.77554046912482
57,107,263.814,24,24,256.9050483703613,9,0,1,11.8249170305471,150.0,118.24917030547101
58,108,278.27,24,24,265.94239377975464,5,0,5,15.929340444968608,150.0,159.2934044496861
59,109,312.252,24,24,252.63413667678833,8,0,10,21.443090447548666,150.0,214.4309044754867
60,110,294.776,24,24,286.8642406463623,2,0,14,13.559596317996034,120.0,135.59596317996036
