ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,restrictedMask,restrictedExecuted,restrictedDetourDistance,travel,setup,move
80,110,341.873,24,24,280.3712787628174,2,0,19,0,0,0.0,17.095703849495678,140.0,170.9570384949568
81,101,316.621,24,24,278.40957260131836,2,0,10,0,0,0.0,15.301410192230637,150.0,153.01410192230642
82,102,293.159,24,24,259.9953155517578,6,0,4,0,0,1.602097519423154,28.34893953153728,160.0,283.4893953153728
83,103,327.785,24,24,265.2104387283325,2,0,12,0,0,1.173838390565038,29.298531556887596,170.0,292.98531556887593
84,104,265.6,24,24,249.36515760421753,18,0,8,0,0,0.0,20.449450019752707,100.0,204.4945001975271
85,105,283.358,24,24,284.0682535171509,1,0,6,0,0,1.258896340474756,13.105804871282311,150.0,131.0580487128231
86,106,376.86,24,24,264.3883738517761,2,0,8,0,0,12.795878145819977,43.70540080270028,160.0,437.0540080270029
87,107,377.984,24,24,285.15113830566406,1,0,12,0,0,1.5697657434914873,19.496199699101034,130.0,194.96199699101032
88,108,332.167,24,24,287.88477420806885,3,0,19,0,0,3.9572699776698954,22.050746598151996,110.0,220.50746598152
89,109,300.881,24,24,283.1890983581543,2,0,6,0,0,0.0,17.703010204461343,140.0,177.0301020446134
90,110,257.578,24,24,282.7199821472168,4,0,4,0,0,0.0,17.60005236932873,130.0,176.0005236932873
91,101,301.496,24,24,266.08459854125977,8,0,9,0,0,0.0,14.717985339164148,140.0,147.17985339164147
92,102,294.222,24,24,260.57081174850464,8,0,8,0,0,0.7284436181253717,19.763950230477068,150.0,197.6395023047707
93,103,370.989,24,24,270.8743290901184,4,0,31,0,0,6.123147510356354,23.75221323206238,140.0,237.5221323206238
94,104,290.449,24,24,295.6637992858887,2,0,4,0,0,0.0,16.12064999640574,110.0,161.20649996405737
95,105,305.195,24,24,293.73502254486084,0,0,10,0,0,0.0,10.883229218305509,130.0,108.83229218305509
96,106,283.096,24,24,284.8930435180664,1,0,8,0,0,4.437820927630561,27.02318876516287,130.0,270.2318876516286
97,107,336.25,24,24,274.3699064254761,2,0,22,0,0,0.0,12.100305954299866,160.0,121.00305954299864
98,108,367.655,24,24,274.176878452301,8,0,32,0,0,0.0,12.743737457523377,110.0,127.43737457523378
99,109,307.894,24,24,282.6568183898926,1,0,6,0,0,4.230534867730363,29.477265729722834,140.0,294.77265729722836
100,110,391.519,24,24,279.7765426635742,0,0,23,0,0,2.0707714449752856,20.744858675255664,150.0,207.44858675255662
101,101,318.984,24,24,259.3601541519165,9,0,3,0,0,0.0,27.132801188782032,140.0,271.32801188782037
102,102,300.25,24,24,261.5836977958679,2,0,5,0,0,0.0,23.054308112858674,190.0,230.54308112858672
103,103,327.295,24,24,264.5050148963928,4,0,9,0,0,4.341410604863455,28.31661663947929,160.0,283.16616639479287
104,104,280.976,24,24,276.193603515625,8,0,8,0,0,0.0,17.68799264813416,110.0,176.8799264813416
105,105,268.269,24,24,273.2938690185547,5,0,0,0,0,0.0,12.3537533500242,150.0,123.53753350024199
106,106,339.596,24,24,284.58691120147705,2,0,20,0,0,1.861198676086289,24.7102921101735,120.0,247.10292110173495
107,107,289.44,24,24,278.0975151062012,4,0,5,0,0,0.0,14.674918092228015,140.0,146.74918092228012
108,108,333.638,24,24,281.033265709877,1,0,12,0,0,1.4855116939508974,29.889081088807334,140.0,298.89081088807336
109,109,286.835,24,24,284.7406883239746,1,0,10,0,0,0.48560444447038975,19.19770373980418,140.0,191.9770373980418
110,110,269.817,24,24,278.98414421081543,3,0,5,0,0,0.0,25.052858953848858,140.0,250.52858953848857
111,101,270.429,24,24,259.4196090698242,7,0,5,0,0,0.0,23.60125538323994,160.0,236.01255383239942
112,102,269.676,24,24,275.36583709716797,2,0,1,0,0,0.0,20.447167832945116,160.0,204.47167832945115
113,103,278.03,24,24,256.58602714538574,5,0,6,0,0,14.375627259059954,38.04657048827855,170.0,380.4657048827854
114,104,385.632,24,24,272.7889232635498,10,0,16,0,0,2.753562226748521,24.036917630467983,90.0,240.36917630467985
115,105,292.666,24,24,301.82090616226196,0,0,12,0,0,0.0,10.596985404473802,110.0,105.96985404473801
116,106,327.81,24,24,269.4124484062195,1,0,12,0,0,0.0,23.62516022977789,170.0,236.25160229777893
117,107,280.092,24,24,271.32147216796875,5,0,1,0,0,0.0,17.261744292315,150.0,172.61744292315004
118,108,376.152,24,24,260.7479591369629,7,0,22,0,0,0.0,19.17345155948596,150.0,191.7345155948596
119,109,317.211,24,24,271.2987995147705,7,0,11,0,0,5.881840830351209,29.003980123030683,120.0,290.0398012303068
120,110,311.329,24,24,280.86069917678833,0,0,12,0,0,2.533418966179937,27.131001769142248,150.0,271.31001769142244
121,101,259.007,24,24,281.1720132827759,8,0,4,0,0,0.0,19.426624690539146,100.0,194.2662469053915
122,102,309.718,24,24,269.06782245635986,4,0,6,0,0,5.879637727463141,31.44057871807406,150.0,314.40578718074056
123,103,526.624,24,24,263.9824061393738,2,0,35,0,0,3.154610187752702,33.391969846098554,150.0,333.9196984609855
124,104,340.338,24,24,278.16436862945557,3,0,15,0,0,0.0,22.78541108655756,130.0,227.8541108655756
125,105,304.314,24,24,306.68421745300293,0,0,10,0,0,0.0,7.719265605910717,100.0,77.19265605910716
126,106,293.099,24,24,284.2472553253174,4,0,15,0,0,4.890234714801146,24.17580330583827,110.0,241.75803305838272
127,107,377.448,24,24,269.89159297943115,3,0,25,0,0,3.5378850632921015,23.69469418373709,150.0,236.94694183737099
128,108,281.882,24,24,278.73998069763184,2,0,5,0,0,0.0,20.866722115814866,150.0,208.66722115814866
129,109,414.043,24,24,263.7134246826172,5,0,20,0,0,0.0,24.28854479574562,150.0,242.88544795745617
130,110,341.259,24,24,291.80116987228394,0,0,24,0,0,0.0,12.329443393348981,130.0,123.29443393348983
131,101,377.768,24,24,271.7546191215515,6,0,12,0,0,0.28189057404653184,19.151267004594757,130.0,191.51267004594752
132,102,313.323,24,24,262.39445543289185,4,0,8,0,0,1.602097519423154,23.685117965840323,170.0,236.85117965840323
133,103,349.859,24,24,275.7755808830261,1,0,15,0,0,6.186553338743565,29.081382118832465,150.0,290.81382118832465
134,104,294.855,24,24,273.49580001831055,3,0,4,0,0,1.8525872841154793,26.68066352344733,150.0,266.8066352344733
135,105,312.496,24,24,287.07576274871826,2,0,12,0,0,0.0,13.080785389713881,130.0,130.8078538971388
136,106,359.181,24,24,260.7253065109253,6,0,16,0,0,5.027176065272215,29.24894387738402,150.0,292.48943877384016
137,107,368.244,24,24,270.8165674209595,5,0,22,0,0,4.674635927889739,18.944755633947278,140.0,189.44755633947278
138,108,327.048,24,24,276.6115732192993,1,0,12,0,0,0.0,17.96141255882735,160.0,179.6141255882735
139,109,327.686,24,24,269.75347423553467,6,0,12,0,0,0.0,17.488391814279538,140.0,174.88391814279538
140,110,284.984,24,24,285.9906196594238,1,0,5,0,0,8.439169198455645,31.69792294423014,130.0,316.9792294423014
141,101,306.677,24,24,289.2919406890869,1,0,13,0,0,0.0,15.69353359397677,130.0,156.93533593976775
142,102,273.253,24,24,286.8244514465332,2,0,5,0,0,2.356645274007711,28.918486176088393,120.0,289.18486176088396
143,103,378.876,24,24,270.1257219314575,4,0,17,0,0,1.173838390565038,26.247593251261144,140.0,262.47593251261145
144,104,344.849,24,24,278.10791873931885,3,0,18,0,0,0.0,19.64024091754705,140.0,196.40240917547055
145,105,267.784,24,24,299.34760665893555,0,0,4,0,0,0.0,12.174650086581192,120.0,121.74650086581188
146,106,328.169,24,24,284.3953137397766,2,0,22,0,0,2.981857441732096,30.348949872999405,120.0,303.489498729994
147,107,340.905,24,24,260.87590980529785,6,0,16,0,0,2.454796809326453,17.08028715135101,160.0,170.8028715135101
148,108,292.394,24,24,254.86175346374512,12,0,8,0,0,1.2080964199680722,25.46081728225645,130.0,254.60817282256443
149,109,299.631,24,24,280.64443016052246,2,0,10,0,0,3.2565314212279617,21.185208549466555,140.0,211.85208549466557
150,110,401.771,24,24,281.88536977767944,1,0,25,0,0,0.0,17.048775327193606,140.0,170.48775327193607
