level,ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
L1_2C12L,1,101,281.218,12,12,168.05737113952637,2,0,7,19.80875989962465,110.0,198.08759899624653
L1_2C12L,2,102,207.178,12,12,182.47282361984253,0,0,0,10.090569059139286,100.0,100.90569059139285
L2_3C24L,1,101,265.725,24,24,281.95390129089355,3,0,3,15.153629745017055,140.0,151.53629745017057
L2_3C24L,2,102,349.904,24,24,255.09406280517578,10,0,23,21.353102283983134,140.0,213.53102283983137
L3_4C36L,1,101,368.995,36,36,378.0016703605652,9,0,27,23.327756403571595,150.0,233.277564035716
L3_4C36L,2,102,317.971,36,36,377.2067494392395,11,0,16,12.64417156424869,150.0,126.44171564248691
