ep,seed,makespan,done,total,reward,soft,hardExecuted,hardMask,travel,setup,move
1,101,354.676,24,24,267.66905784606934,4,0,19,21.103103285718337,150.0,211.03103285718336
2,102,278.417,24,24,248.6495771408081,9,0,2,24.501385025194228,170.0,245.01385025194236
3,103,328.383,24,24,246.08871793746948,9,0,20,34.70427607316432,160.0,347.04276073164317
4,104,259.207,24,24,255.34531259536743,14,0,12,13.848961579836875,120.0,138.48961579836873
5,105,326.15,24,24,262.3603012561798,6,0,9,15.465640278535957,160.0,154.65640278535957
6,106,331.544,24,24,246.69449996948242,10,0,6,27.684987957468532,160.0,276.8498795746853
7,107,401.447,24,24,249.35598134994507,12,0,47,10.48001574422662,140.0,104.80015744226617
8,108,345.396,24,24,259.24098682403564,7,0,14,25.863349730867913,150.0,258.63349730867907
9,109,377.33,24,24,240.56492280960083,13,0,19,26.450242161132294,150.0,264.502421611323
10,110,275.244,24,24,262.11311769485474,7,0,7,21.28957072668857,150.0,212.89570726688572
11,101,312.708,24,24,269.73240089416504,4,0,12,19.225331433475052,150.0,192.25331433475054
12,102,266.254,24,24,242.39588499069214,13,0,4,32.01371561539931,150.0,320.1371561539931
13,103,299.992,24,24,256.8387408256531,10,0,8,20.53753353059107,140.0,205.3753353059107
14,104,455.37,24,24,268.4791808128357,7,0,31,23.402710393907643,120.0,234.02710393907643
15,105,301.324,24,24,254.60544109344482,8,0,6,12.98186962055459,170.0,129.8186962055459
16,106,447.118,24,24,254.68462705612183,2,0,29,34.38456070165895,180.0,343.8456070165895
17,107,397.773,24,24,232.63617944717407,12,0,26,17.8793671502678,180.0,178.793671502678
18,108,287.877,24,24,263.5696339607239,7,0,14,16.434515574007783,150.0,164.34515574007787
19,109,427.806,24,24,247.85033416748047,6,0,33,22.165539237111247,180.0,221.65539237111247
20,110,311.976,24,24,268.0996718406677,4,0,9,26.334441184057955,150.0,263.34441184057954
21,101,398.54,24,24,265.69728660583496,2,0,16,22.67571260790472,170.0,226.7571260790472
22,102,338.919,24,24,244.596040725708,8,0,17,36.34653602682841,170.0,363.46536026828414
23,103,423.572,24,24,241.70929193496704,5,0,21,30.968998063215427,200.0,309.6899806321543
24,104,293.079,24,24,285.0424542427063,5,0,4,21.525152079342433,110.0,215.2515207934244
25,105,373.014,24,24,246.1485641002655,11,0,16,14.504761945157792,160.0,145.04761945157793
26,106,269.762,24,24,266.10685539245605,10,0,9,21.310485799546896,120.0,213.10485799546896
27,107,315.196,24,24,271.09352111816406,6,0,17,13.021592708510909,140.0,130.21592708510912
28,108,391.82,24,24,263.09544372558594,4,0,16,33.015164177610295,150.0,330.1516417761029
29,109,362.889,24,24,240.94158220291138,11,0,15,23.52805026121111,170.0,235.2805026121111
30,110,317.763,24,24,256.21865797042847,7,0,14,20.937799758214133,160.0,209.37799758214132
31,101,261.747,24,24,267.598352432251,13,0,4,13.005486622130485,100.0,130.05486622130488
32,102,377.687,24,24,259.6405153274536,6,0,22,29.53159902954281,150.0,295.3159902954281
33,103,313.328,24,24,262.8292803764343,4,0,3,25.569075035335445,170.0,255.6907503533545
34,104,301.986,24,24,272.18758392333984,9,0,14,21.041391473628707,110.0,210.4139147362871
35,105,295.292,24,24,292.67627573013306,4,0,9,14.412398725562852,100.0,144.12398725562855
36,106,428.806,24,24,265.1771149635315,1,0,33,22.74294517837944,170.0,227.4294517837944
37,107,402.149,24,24,227.67184686660767,14,0,16,27.760480196036003,170.0,277.60480196035996
38,108,303.652,24,24,276.4761905670166,2,0,8,21.74599519224832,150.0,217.4599519224832
39,109,304.451,24,24,262.11793851852417,8,0,9,22.94019128959915,140.0,229.4019128959915
40,110,268.504,24,24,269.2275514602661,4,0,3,22.57478645443958,160.0,225.7478645443957
41,101,304.745,24,24,260.38679456710815,6,0,9,22.044004955016366,160.0,220.44004955016365
42,102,268.71,24,24,252.12324905395508,10,0,9,16.255837387412587,160.0,162.5583738741258
43,103,426.852,24,24,276.63026332855225,4,0,41,16.232451453044767,120.0,162.32451453044763
44,104,327.283,24,24,264.67321252822876,9,0,16,26.08928332574878,120.0,260.89283325748784
45,105,364.115,24,24,255.07045602798462,8,0,12,19.765147196854578,160.0,197.65147196854576
46,106,347.506,24,24,234.931321144104,10,0,14,35.22893160651507,180.0,352.28931606515073
47,107,352.995,24,24,254.90113878250122,8,0,17,15.329536876274078,160.0,153.2953687627408
48,108,293.351,24,24,276.37982177734375,5,0,6,18.73390893920321,130.0,187.33908939203204
49,109,354.386,24,24,278.31357860565186,3,0,20,22.288067686337957,130.0,222.88067686337956
50,110,289.049,24,24,271.2972309589386,7,0,10,15.675896475448294,130.0,156.75896475448295
51,101,302.738,24,24,274.6580066680908,6,0,13,27.806653582724174,120.0,278.0665358272417
52,102,272.245,24,24,270.16563749313354,7,0,9,21.11454145549933,130.0,211.14541455499332
53,103,311.572,24,24,253.94894981384277,8,0,10,25.17015139016601,160.0,251.70151390166
54,104,453.651,24,24,271.9667992591858,4,0,24,28.44397468315308,130.0,284.4397468315308
55,105,315.941,24,24,266.5333948135376,5,0,4,16.55534195689527,160.0,165.5534195689527
56,106,324.11,24,24,279.559193611145,3,0,5,28.13602469910481,130.0,281.36024699104803
57,107,416.367,24,24,288.6252980232239,1,0,28,16.24901235594637,120.0,162.4901235594637
58,108,278.589,24,24,267.33228397369385,5,0,3,27.22567960674609,150.0,272.25679606746087
59,109,288.99,24,24,240.66488361358643,12,0,9,21.117044070109145,170.0,211.17044070109142
60,110,300.74,24,24,267.7482280731201,7,0,10,15.839237440735355,140.0,158.39237440735354
